"department","region","education","gender","recruitment_channel","no_of_trainings","age","previous_year_rating","length_of_service","awards_won.","avg_training_score","is_promoted"
"Technology","region_23","Master_and_above","f","sourcing",1,41,"4",10,0,81,"No"
"Operations","region_22","Master_and_above","m","other",1,38,"3",10,0,62,"No"
"Sales & Marketing","region_2","No_Education","m","other",1,23,"No_Rating",1,0,47,"Yes"
"Analytics","region_25","Bachelor","m","other",1,29,"3",3,0,82,"No"
"Sales & Marketing","region_5","Bachelor","m","other",1,40,"5",11,0,43,"No"
"Sales & Marketing","region_28","Master_and_above","m","other",2,38,"2",5,0,53,"No"
"Sales & Marketing","region_14","Bachelor","m","other",1,32,"3",2,0,52,"No"
"Procurement","region_7","Bachelor","m","sourcing",1,46,"3",4,0,67,"No"
"Sales & Marketing","region_30","Bachelor","m","sourcing",2,29,"3",4,0,52,"No"
"Sales & Marketing","region_2","Master_and_above","f","sourcing",1,59,"4",16,0,47,"No"
"Procurement","region_14","Master_and_above","f","sourcing",1,37,"3",4,0,69,"No"
"Operations","region_30","Bachelor","f","sourcing",1,32,"3",9,0,61,"No"
"Procurement","region_22","Bachelor","m","other",2,29,"1",3,0,69,"No"
"Operations","region_2","Bachelor","m","sourcing",1,30,"5",2,0,58,"No"
"Sales & Marketing","region_25","Bachelor","m","other",1,25,"1",2,0,53,"No"
"Technology","region_2","No_Education","m","other",1,51,"3",8,0,84,"No"
"Sales & Marketing","region_3","Master_and_above","m","sourcing",1,36,"3",4,0,47,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",1,30,"No_Rating",1,0,50,"No"
"Operations","region_22","Master_and_above","m","other",2,36,"5",8,0,63,"No"
"Technology","region_32","Bachelor","f","other",1,26,"No_Rating",1,0,77,"No"
"Operations","region_7","Bachelor","m","sourcing",1,32,"3",6,0,57,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,30,"4",6,0,52,"No"
"Finance","region_2","Bachelor","f","other",2,35,"5",4,0,61,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,45,"5",4,0,50,"No"
"Operations","region_2","Master_and_above","m","sourcing",1,43,"4",3,0,56,"No"
"Operations","region_2","Bachelor","m","sourcing",1,42,"3",12,0,58,"No"
"Operations","region_34","Bachelor","m","other",1,29,"No_Rating",1,0,58,"No"
"Sales & Marketing","region_3","Bachelor","m","sourcing",1,28,"5",6,0,50,"No"
"Sales & Marketing","region_8","Master_and_above","m","other",1,41,"4",6,0,50,"No"
"Technology","region_10","Bachelor","m","other",2,34,"4",7,0,81,"No"
"Sales & Marketing","region_16","Bachelor","m","other",1,45,"5",6,0,89,"Yes"
"R&D","region_26","Bachelor","m","other",2,30,"5",2,0,87,"No"
"Operations","region_11","Master_and_above","m","sourcing",1,45,"5",6,0,63,"No"
"Sales & Marketing","region_2","No_Education","m","sourcing",1,32,"3",7,0,48,"No"
"Sales & Marketing","region_28","Bachelor","m","other",1,30,"No_Rating",1,0,49,"No"
"Analytics","region_22","Bachelor","f","other",1,30,"5",2,0,80,"No"
"Analytics","region_22","Bachelor","m","other",2,29,"5",5,1,82,"Yes"
"Technology","region_15","Bachelor","m","sourcing",1,39,"1",8,0,80,"No"
"Operations","region_26","Bachelor","m","sourcing",1,32,"3",6,0,61,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,31,"3",5,0,50,"No"
"Operations","region_7","Bachelor","m","sourcing",1,37,"3",4,0,94,"Yes"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,52,"1",22,0,47,"No"
"Technology","region_2","Bachelor","m","sourcing",1,35,"3",9,0,78,"No"
"Procurement","region_16","Master_and_above","f","other",1,46,"3",17,0,67,"No"
"Analytics","region_26","No_Education","m","sourcing",1,31,"5",3,0,86,"No"
"Technology","region_20","Bachelor","f","other",1,29,"2",4,0,79,"No"
"Operations","region_31","Bachelor","f","other",1,35,"3",3,0,55,"No"
"Finance","region_22","Bachelor","m","sourcing",1,34,"4",6,0,60,"No"
"Sales & Marketing","region_23","Bachelor","m","other",1,29,"4",2,0,47,"No"
"Technology","region_22","Bachelor","m","referred",1,27,"1",2,0,79,"No"
"Finance","region_2","Bachelor","f","sourcing",1,38,"3",7,0,56,"No"
"Sales & Marketing","region_1","Master_and_above","m","sourcing",2,32,"4",4,0,52,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,31,"3",4,0,51,"Yes"
"Procurement","region_7","Master_and_above","m","sourcing",1,31,"2",3,0,66,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,42,"5",7,0,52,"No"
"Operations","region_22","Bachelor","m","other",2,43,"2",2,0,58,"No"
"Sales & Marketing","region_26","No_Education","m","other",2,24,"1",2,0,50,"No"
"Procurement","region_7","Master_and_above","m","other",2,36,"3",5,0,70,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,41,"3",5,0,53,"No"
"Operations","region_19","Bachelor","f","sourcing",1,31,"3",8,0,62,"No"
"Operations","region_16","Bachelor","m","sourcing",1,27,"4",6,0,56,"No"
"Sales & Marketing","region_9","Bachelor","m","sourcing",1,27,"4",4,0,51,"No"
"Sales & Marketing","region_15","Master_and_above","m","other",1,45,"3",9,0,53,"No"
"Finance","region_2","Master_and_above","m","sourcing",1,40,"3",8,0,63,"No"
"Operations","region_32","Bachelor","m","sourcing",1,37,"5",3,0,56,"No"
"Sales & Marketing","region_14","Bachelor","m","other",2,27,"3",2,0,51,"No"
"Sales & Marketing","region_31","Bachelor","m","other",1,33,"3",7,0,44,"No"
"Sales & Marketing","region_15","Bachelor","m","other",1,33,"5",7,0,53,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,38,"1",3,0,45,"No"
"Technology","region_7","Bachelor","m","sourcing",1,42,"5",8,0,71,"Yes"
"Analytics","region_1","Bachelor","m","other",1,25,"4",2,0,86,"No"
"Sales & Marketing","region_27","Bachelor","m","sourcing",1,38,"5",9,0,49,"No"
"Procurement","region_17","Master_and_above","f","other",1,37,"3",4,0,71,"No"
"Legal","region_22","Bachelor","f","other",1,30,"3",2,0,59,"No"
"Sales & Marketing","region_32","Bachelor","m","other",3,28,"1",3,0,49,"No"
"Legal","region_22","Bachelor","m","sourcing",1,25,"3",2,0,59,"No"
"Analytics","region_7","Bachelor","f","other",1,29,"4",3,0,87,"No"
"Sales & Marketing","region_25","Bachelor","m","other",1,27,"4",4,0,49,"No"
"Procurement","region_7","Bachelor","f","sourcing",1,29,"1",5,0,75,"No"
"Legal","region_2","Bachelor","m","sourcing",1,46,"1",2,0,62,"No"
"Sales & Marketing","region_7","Master_and_above","m","other",2,40,"3",11,0,51,"Yes"
"Procurement","region_16","Bachelor","f","other",1,44,"3",3,0,76,"No"
"Sales & Marketing","region_8","Bachelor","m","other",1,35,"3",8,0,49,"No"
"Finance","region_2","Bachelor","m","other",1,39,"2",9,0,63,"No"
"Technology","region_20","Master_and_above","f","sourcing",3,36,"5",12,0,79,"No"
"Analytics","region_16","Bachelor","m","other",1,31,"1",5,0,82,"No"
"Procurement","region_13","Bachelor","m","other",1,42,"4",15,0,71,"No"
"Operations","region_13","Master_and_above","m","sourcing",1,34,"4",10,0,60,"No"
"Legal","region_22","Bachelor","m","sourcing",1,30,"1",5,0,64,"No"
"Procurement","region_22","Bachelor","m","other",2,28,"3",2,0,73,"No"
"Technology","region_16","Bachelor","m","sourcing",1,32,"3",6,0,82,"No"
"HR","region_2","Bachelor","f","other",1,35,"3",2,0,50,"No"
"Sales & Marketing","region_11","Bachelor","m","other",1,32,"5",9,0,48,"No"
"Technology","region_22","Bachelor","m","referred",1,31,"5",4,0,80,"No"
"Analytics","region_2","Bachelor","m","sourcing",2,38,"3",9,0,84,"No"
"Procurement","region_2","Bachelor","m","other",1,45,"3",4,0,72,"No"
"HR","region_2","Master_and_above","m","sourcing",1,40,"4",8,0,48,"No"
"Operations","region_7","Bachelor","m","other",1,25,"4",2,0,62,"No"
"Procurement","region_2","Bachelor","f","other",1,36,"3",8,0,70,"Yes"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,40,"4",3,0,50,"Yes"
"HR","region_22","Master_and_above","m","sourcing",2,40,"5",5,0,49,"No"
"Technology","region_2","Master_and_above","m","other",4,43,"1",12,0,75,"No"
"Sales & Marketing","region_15","Bachelor","m","sourcing",1,36,"4",10,0,44,"No"
"Sales & Marketing","region_16","Bachelor","m","other",1,26,"No_Rating",1,0,53,"No"
"R&D","region_4","Bachelor","f","other",1,32,"3",5,0,85,"No"
"Sales & Marketing","region_5","Master_and_above","m","sourcing",1,32,"2",6,0,47,"No"
"Operations","region_11","Bachelor","f","other",1,38,"5",5,0,65,"No"
"R&D","region_2","Bachelor","m","other",3,28,"No_Rating",1,0,85,"No"
"Technology","region_19","Bachelor","m","sourcing",1,34,"3",5,0,76,"No"
"Technology","region_15","Master_and_above","m","other",1,40,"3",5,0,82,"No"
"Technology","region_2","Bachelor","m","sourcing",1,27,"1",4,0,79,"No"
"Operations","region_22","Bachelor","m","sourcing",1,24,"3",2,0,65,"No"
"Procurement","region_22","Master_and_above","f","sourcing",1,38,"4",7,0,72,"No"
"Sales & Marketing","region_30","Bachelor","f","other",1,32,"1",9,0,45,"No"
"Sales & Marketing","region_16","Master_and_above","m","other",1,36,"4",3,0,52,"No"
"Procurement","region_26","Master_and_above","m","other",1,45,"3",3,0,71,"No"
"Sales & Marketing","region_30","Bachelor","m","sourcing",1,31,"3",2,0,54,"No"
"Procurement","region_2","Bachelor","f","other",4,36,"3",5,0,70,"No"
"Sales & Marketing","region_9","Bachelor","m","other",4,29,"3",5,0,60,"No"
"Operations","region_7","Master_and_above","f","sourcing",1,43,"5",3,0,60,"No"
"Operations","region_2","Master_and_above","m","sourcing",1,47,"5",14,0,62,"No"
"Operations","region_15","Master_and_above","f","sourcing",1,48,"3",19,0,56,"No"
"Analytics","region_28","Bachelor","m","other",1,30,"5",3,0,83,"Yes"
"Finance","region_6","Bachelor","f","sourcing",1,29,"3",6,0,61,"No"
"Technology","region_6","Bachelor","f","other",1,28,"2",4,0,82,"No"
"Sales & Marketing","region_9","Bachelor","m","other",1,32,"3",5,0,51,"No"
"Operations","region_19","Bachelor","m","other",1,44,"4",5,0,57,"No"
"Operations","region_8","Bachelor","m","other",1,25,"No_Rating",1,0,60,"No"
"Sales & Marketing","region_28","Bachelor","m","other",1,33,"4",7,0,53,"No"
"Analytics","region_22","No_Education","m","sourcing",1,33,"5",7,0,88,"No"
"Procurement","region_2","Master_and_above","m","other",1,44,"3",13,0,72,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,32,"3",4,0,49,"No"
"Sales & Marketing","region_29","Bachelor","m","sourcing",2,34,"1",7,0,50,"No"
"Operations","region_7","Master_and_above","m","other",1,31,"4",2,0,55,"No"
"Finance","region_22","Bachelor","m","sourcing",1,30,"4",6,0,60,"No"
"Operations","region_15","Bachelor","m","other",2,31,"3",5,0,63,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,44,"4",17,0,48,"No"
"Technology","region_17","Bachelor","f","sourcing",1,27,"5",3,0,94,"Yes"
"Sales & Marketing","region_16","Bachelor","m","referred",1,30,"5",3,0,51,"No"
"Analytics","region_22","Bachelor","m","other",2,28,"5",5,0,82,"No"
"Operations","region_13","Bachelor","f","sourcing",1,28,"3",4,0,61,"No"
"Operations","region_26","Bachelor","m","sourcing",2,30,"4",4,0,60,"No"
"Operations","region_22","Bachelor","m","referred",1,26,"5",5,0,58,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",1,24,"3",3,0,44,"No"
"Technology","region_24","Bachelor","f","other",1,28,"3",4,0,78,"No"
"Procurement","region_7","Bachelor","f","other",1,32,"3",5,0,70,"No"
"Operations","region_22","Bachelor","m","other",1,55,"3",17,0,55,"No"
"Technology","region_7","Master_and_above","m","sourcing",1,50,"3",16,0,79,"No"
"Operations","region_2","No_Education","f","other",1,47,"3",4,1,55,"No"
"Technology","region_7","Master_and_above","m","referred",1,47,"5",9,0,79,"No"
"Finance","region_2","Master_and_above","m","other",1,45,"3",4,0,64,"No"
"Procurement","region_16","Bachelor","f","sourcing",1,26,"5",4,0,71,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,51,"4",18,0,53,"No"
"Finance","region_2","Bachelor","m","other",1,49,"5",23,0,58,"No"
"Sales & Marketing","region_31","Bachelor","m","other",1,46,"1",6,0,48,"No"
"Technology","region_23","Master_and_above","m","other",1,34,"3",6,0,79,"No"
"Sales & Marketing","region_23","Bachelor","m","sourcing",2,30,"1",10,0,48,"No"
"Sales & Marketing","region_16","Master_and_above","m","other",1,33,"5",3,0,51,"No"
"Technology","region_10","Master_and_above","m","sourcing",1,47,"1",8,0,79,"No"
"Technology","region_22","Bachelor","m","sourcing",1,31,"2",7,0,75,"No"
"Operations","region_2","Bachelor","m","other",1,24,"No_Rating",1,0,57,"No"
"Sales & Marketing","region_26","Bachelor","m","sourcing",1,42,"3",2,0,51,"No"
"Technology","region_13","Bachelor","m","sourcing",2,24,"5",2,0,86,"No"
"Sales & Marketing","region_27","Bachelor","m","other",1,38,"3",4,0,47,"No"
"HR","region_2","Master_and_above","f","other",1,59,"4",6,0,48,"No"
"Procurement","region_19","Bachelor","m","sourcing",1,29,"3",3,0,71,"No"
"Technology","region_22","Master_and_above","f","other",1,31,"4",3,0,83,"Yes"
"R&D","region_22","Master_and_above","m","sourcing",1,30,"5",4,0,85,"No"
"Finance","region_2","No_Education","m","other",1,29,"No_Rating",1,0,61,"No"
"HR","region_26","Bachelor","f","sourcing",1,27,"1",4,0,46,"No"
"Sales & Marketing","region_12","Bachelor","m","sourcing",1,26,"3",3,0,48,"No"
"Sales & Marketing","region_2","Master_and_above","f","other",1,42,"4",16,0,52,"No"
"Sales & Marketing","region_2","Bachelor","f","other",1,35,"4",8,0,43,"No"
"Sales & Marketing","region_2","Bachelor","f","sourcing",1,58,"5",17,0,46,"No"
"Sales & Marketing","region_20","Master_and_above","m","sourcing",1,43,"5",6,0,51,"No"
"Sales & Marketing","region_19","Bachelor","m","other",1,30,"5",4,0,47,"No"
"Operations","region_29","Bachelor","m","sourcing",1,31,"3",7,0,57,"No"
"Procurement","region_7","Bachelor","f","other",1,31,"5",5,0,68,"No"
"Operations","region_22","Bachelor","m","sourcing",2,27,"No_Rating",1,0,59,"No"
"Procurement","region_2","Bachelor","m","other",1,50,"3",5,0,74,"No"
"HR","region_27","Master_and_above","f","sourcing",1,32,"3",5,0,48,"No"
"Technology","region_31","Master_and_above","m","other",3,33,"1",7,0,79,"No"
"Sales & Marketing","region_15","Bachelor","m","other",1,30,"4",2,0,53,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",1,36,"5",9,0,51,"No"
"Analytics","region_22","Bachelor","f","other",1,36,"5",3,0,87,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",1,53,"2",9,0,51,"No"
"Operations","region_30","Bachelor","m","sourcing",1,30,"4",4,0,62,"No"
"Analytics","region_31","Bachelor","m","other",2,40,"3",7,0,87,"No"
"HR","region_22","Bachelor","m","other",1,32,"4",5,0,48,"No"
"Operations","region_15","Bachelor","m","sourcing",1,38,"4",5,0,60,"No"
"Operations","region_5","Bachelor","m","other",1,28,"No_Rating",1,0,62,"No"
"Operations","region_6","Bachelor","f","other",1,40,"4",11,0,63,"No"
"Sales & Marketing","region_13","Master_and_above","m","other",1,33,"5",3,0,50,"Yes"
"Operations","region_15","Master_and_above","m","sourcing",1,47,"3",16,0,60,"No"
"Sales & Marketing","region_24","Master_and_above","m","sourcing",1,33,"3",5,0,52,"No"
"Technology","region_24","Bachelor","m","other",2,25,"No_Rating",1,0,75,"No"
"Procurement","region_2","Bachelor","f","other",2,31,"No_Rating",1,0,72,"No"
"Operations","region_16","Bachelor","f","other",1,33,"5",6,0,59,"No"
"Finance","region_32","Bachelor","m","sourcing",1,29,"3",4,0,58,"No"
"Technology","region_15","Bachelor","m","other",2,40,"3",4,0,77,"No"
"Sales & Marketing","region_32","Bachelor","m","other",1,42,"3",4,0,45,"No"
"Sales & Marketing","region_5","No_Education","m","other",1,27,"No_Rating",1,0,47,"No"
"Technology","region_4","Bachelor","f","sourcing",1,35,"3",6,0,79,"No"
"Operations","region_22","Master_and_above","f","sourcing",1,35,"4",7,0,57,"No"
"Sales & Marketing","region_14","Master_and_above","m","sourcing",1,36,"4",2,0,52,"No"
"Sales & Marketing","region_23","Master_and_above","m","other",1,40,"3",9,0,49,"No"
"Operations","region_11","Bachelor","f","other",1,29,"No_Rating",1,0,62,"No"
"Procurement","region_15","Bachelor","m","sourcing",1,39,"4",7,0,72,"No"
"Operations","region_22","Bachelor","m","sourcing",2,34,"3",4,0,61,"No"
"Procurement","region_16","Below_Secondary","f","sourcing",2,23,"No_Rating",1,0,69,"No"
"Analytics","region_2","Bachelor","m","sourcing",2,44,"1",13,0,84,"No"
"Sales & Marketing","region_16","Bachelor","f","other",1,40,"5",13,0,49,"No"
"Sales & Marketing","region_31","Bachelor","m","sourcing",1,48,"1",4,0,49,"No"
"Sales & Marketing","region_26","Master_and_above","m","sourcing",1,36,"5",9,0,52,"No"
"Sales & Marketing","region_14","Bachelor","m","other",1,28,"1",4,0,47,"No"
"Analytics","region_28","Bachelor","m","other",2,30,"1",8,0,85,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",1,37,"3",3,0,44,"No"
"Sales & Marketing","region_15","Bachelor","m","other",2,46,"3",4,0,54,"No"
"Operations","region_22","Master_and_above","m","other",1,34,"1",7,0,58,"No"
"Sales & Marketing","region_31","No_Education","m","sourcing",1,32,"3",5,0,51,"No"
"Sales & Marketing","region_13","Bachelor","f","other",1,31,"1",5,0,52,"No"
"Operations","region_16","Bachelor","f","sourcing",1,29,"3",4,0,60,"No"
"Operations","region_7","Bachelor","m","sourcing",1,36,"3",9,0,62,"No"
"Procurement","region_15","Master_and_above","f","other",1,36,"3",7,0,69,"No"
"Operations","region_26","Bachelor","f","sourcing",2,28,"No_Rating",1,0,62,"No"
"Technology","region_7","Bachelor","f","other",1,29,"1",5,0,81,"No"
"Analytics","region_27","Bachelor","m","other",1,30,"No_Rating",1,0,86,"No"
"Sales & Marketing","region_27","Master_and_above","m","other",1,37,"4",5,0,54,"No"
"Finance","region_2","Bachelor","m","other",2,30,"4",4,0,64,"No"
"Sales & Marketing","region_22","Bachelor","m","other",2,28,"5",4,0,58,"No"
"Operations","region_26","Bachelor","f","other",1,35,"3",7,0,57,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",2,26,"3",2,0,50,"No"
"Sales & Marketing","region_2","Master_and_above","m","other",2,36,"3",10,0,47,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,29,"1",6,0,46,"No"
"Operations","region_13","Master_and_above","m","sourcing",1,36,"5",6,0,53,"No"
"Analytics","region_31","Bachelor","m","other",1,31,"2",2,0,79,"No"
"Sales & Marketing","region_20","Bachelor","m","sourcing",1,36,"1",3,0,54,"No"
"Operations","region_26","Bachelor","m","sourcing",1,30,"5",4,1,61,"No"
"Operations","region_15","Bachelor","m","other",1,41,"5",11,0,60,"No"
"R&D","region_22","Bachelor","m","sourcing",1,28,"5",3,0,85,"No"
"Operations","region_2","Bachelor","f","sourcing",1,58,"3",28,0,58,"No"
"Sales & Marketing","region_4","Bachelor","m","other",1,34,"5",9,0,53,"No"
"Operations","region_2","Below_Secondary","m","other",1,20,"No_Rating",1,0,58,"No"
"Technology","region_15","Bachelor","f","sourcing",1,35,"3",5,0,76,"No"
"Sales & Marketing","region_6","Bachelor","m","sourcing",2,32,"1",9,0,48,"No"
"Procurement","region_26","Bachelor","f","other",2,25,"3",3,0,74,"No"
"Analytics","region_22","Master_and_above","m","sourcing",2,40,"3",9,0,85,"No"
"Sales & Marketing","region_10","Bachelor","m","other",1,25,"3",2,0,49,"No"
"Procurement","region_26","Bachelor","m","other",2,31,"3",4,0,72,"No"
"Procurement","region_17","Bachelor","f","other",1,34,"3",8,0,67,"No"
"Sales & Marketing","region_29","No_Education","m","other",1,29,"No_Rating",1,0,49,"No"
"Operations","region_14","Bachelor","m","sourcing",1,41,"3",12,0,66,"No"
"Analytics","region_29","No_Education","m","other",1,30,"3",8,0,84,"No"
"Procurement","region_4","Master_and_above","m","other",1,53,"3",21,0,72,"No"
"Procurement","region_16","Bachelor","f","other",1,40,"3",5,0,68,"No"
"Sales & Marketing","region_22","Master_and_above","m","other",1,44,"3",11,0,49,"No"
"Sales & Marketing","region_15","No_Education","m","sourcing",1,28,"3",2,0,50,"No"
"Sales & Marketing","region_7","Master_and_above","m","sourcing",2,32,"1",5,0,52,"No"
"Sales & Marketing","region_31","Bachelor","m","other",1,30,"5",4,0,46,"No"
"Sales & Marketing","region_26","Bachelor","m","other",1,36,"1",4,0,45,"No"
"Procurement","region_7","Master_and_above","f","sourcing",1,41,"2",9,0,70,"No"
"Technology","region_7","Bachelor","m","referred",1,26,"2",2,0,77,"Yes"
"Operations","region_16","Below_Secondary","m","other",1,24,"3",2,0,57,"No"
"Technology","region_2","Bachelor","m","other",1,52,"1",6,0,75,"No"
"Procurement","region_2","Below_Secondary","f","other",1,24,"2",2,0,71,"No"
"R&D","region_4","Bachelor","m","sourcing",1,35,"3",3,0,83,"No"
"Procurement","region_15","Master_and_above","m","other",1,40,"3",7,0,70,"No"
"HR","region_2","Bachelor","f","other",1,22,"1",2,0,50,"No"
"Operations","region_8","Bachelor","m","other",1,31,"2",4,0,59,"No"
"Procurement","region_19","Master_and_above","m","sourcing",1,38,"2",4,0,73,"No"
"Sales & Marketing","region_25","Bachelor","m","sourcing",1,35,"1",6,0,51,"No"
"Sales & Marketing","region_1","Bachelor","m","other",1,33,"3",8,0,49,"No"
"Technology","region_2","Bachelor","m","other",1,42,"4",7,0,83,"No"
"Sales & Marketing","region_22","Master_and_above","m","other",1,49,"3",5,0,49,"No"
"Procurement","region_26","Bachelor","m","other",1,31,"2",6,0,69,"No"
"R&D","region_26","Master_and_above","m","sourcing",1,32,"5",5,0,85,"No"
"Analytics","region_15","Bachelor","m","sourcing",1,35,"3",7,0,84,"No"
"Technology","region_16","Bachelor","m","sourcing",1,51,"3",8,0,77,"No"
"Finance","region_29","Bachelor","m","other",2,26,"No_Rating",1,0,58,"No"
"Sales & Marketing","region_16","Bachelor","m","other",2,32,"1",5,0,49,"No"
"Sales & Marketing","region_7","Bachelor","m","other",1,48,"3",20,0,49,"Yes"
"HR","region_7","Master_and_above","m","other",1,38,"3",6,0,48,"Yes"
"Technology","region_7","Bachelor","m","other",1,26,"5",4,0,81,"Yes"
"Finance","region_13","Master_and_above","m","other",3,33,"5",7,0,55,"No"
"Technology","region_33","Bachelor","m","sourcing",2,35,"3",6,0,77,"No"
"Sales & Marketing","region_30","Bachelor","m","sourcing",1,31,"1",4,0,45,"No"
"Procurement","region_15","Bachelor","m","other",2,30,"5",3,0,70,"No"
"Operations","region_28","Bachelor","f","other",1,28,"2",6,0,57,"No"
"Sales & Marketing","region_33","Bachelor","m","sourcing",1,29,"3",2,0,49,"No"
"Technology","region_2","No_Education","f","sourcing",1,29,"4",3,0,81,"No"
"Analytics","region_22","Bachelor","m","referred",3,28,"4",2,0,82,"Yes"
"Operations","region_22","Bachelor","m","sourcing",3,23,"4",2,0,57,"No"
"Technology","region_28","Master_and_above","m","other",1,37,"4",12,0,92,"Yes"
"Analytics","region_5","Bachelor","m","other",1,39,"5",8,0,87,"No"
"Analytics","region_32","Bachelor","m","other",1,28,"5",4,0,84,"No"
"Operations","region_27","Master_and_above","m","other",1,49,"2",16,0,59,"No"
"Sales & Marketing","region_22","Bachelor","m","other",2,28,"3",3,0,44,"Yes"
"Sales & Marketing","region_28","Bachelor","m","sourcing",1,34,"5",8,0,48,"No"
"Sales & Marketing","region_29","Bachelor","m","other",2,28,"1",2,0,50,"No"
"Sales & Marketing","region_22","Bachelor","m","other",2,26,"No_Rating",1,0,49,"No"
"Procurement","region_2","Bachelor","m","other",1,40,"5",6,0,70,"No"
"Analytics","region_2","Bachelor","m","sourcing",1,29,"4",2,0,83,"No"
"Sales & Marketing","region_13","Bachelor","m","other",1,27,"3",4,0,52,"No"
"Legal","region_2","Bachelor","m","sourcing",1,45,"3",10,0,63,"No"
"Sales & Marketing","region_10","Bachelor","m","other",1,29,"2",2,0,49,"No"
"Technology","region_7","Bachelor","m","other",1,25,"1",4,0,82,"No"
"Technology","region_29","Bachelor","f","sourcing",1,28,"3",3,0,84,"No"
"Sales & Marketing","region_16","Bachelor","m","sourcing",1,33,"5",3,0,49,"No"
"Analytics","region_16","Bachelor","m","other",2,35,"3",4,0,85,"No"
"Operations","region_16","Master_and_above","f","sourcing",1,33,"4",7,0,59,"No"
"Sales & Marketing","region_14","Bachelor","m","other",1,39,"1",10,0,51,"No"
"Operations","region_21","Bachelor","m","other",1,27,"5",4,0,59,"No"
"Procurement","region_15","Bachelor","f","sourcing",1,38,"3",4,0,69,"No"
"Technology","region_15","Bachelor","f","other",1,42,"1",12,0,82,"No"
"Operations","region_13","Bachelor","m","sourcing",1,32,"3",7,0,58,"No"
"Procurement","region_22","Bachelor","f","other",1,28,"No_Rating",1,0,66,"No"
"Operations","region_33","Master_and_above","m","sourcing",1,43,"4",3,0,58,"No"
"Legal","region_32","Bachelor","m","other",1,28,"4",1,0,58,"No"
"Technology","region_11","Master_and_above","f","sourcing",1,33,"4",1,0,83,"No"
"Sales & Marketing","region_2","Master_and_above","f","sourcing",1,39,"3",4,0,47,"No"
"Analytics","region_29","Bachelor","m","other",1,29,"5",7,0,83,"No"
"Operations","region_8","Master_and_above","f","other",1,30,"3",4,0,57,"No"
"Sales & Marketing","region_22","Master_and_above","m","sourcing",1,37,"5",10,0,49,"No"
"Sales & Marketing","region_31","Bachelor","m","sourcing",1,50,"3",18,0,52,"No"
"Operations","region_2","Bachelor","m","sourcing",1,35,"5",4,0,59,"No"
"Sales & Marketing","region_7","Bachelor","f","other",1,31,"4",4,0,51,"No"
"Technology","region_26","Bachelor","m","other",2,29,"3",4,0,85,"No"
"Sales & Marketing","region_2","Bachelor","m","sourcing",1,55,"5",15,0,49,"No"
"Sales & Marketing","region_23","Bachelor","m","sourcing",1,32,"3",5,0,51,"No"
"HR","region_7","Master_and_above","f","other",1,35,"3",10,0,52,"No"
"HR","region_2","Bachelor","m","sourcing",1,43,"3",14,0,52,"No"
"Finance","region_27","Below_Secondary","f","sourcing",1,24,"4",2,0,59,"No"
"HR","region_2","Bachelor","m","sourcing",1,34,"1",3,0,49,"No"
"Technology","region_2","Bachelor","m","other",1,54,"2",29,0,77,"No"
"Sales & Marketing","region_19","Bachelor","m","other",1,27,"5",3,0,52,"No"
"Technology","region_22","Master_and_above","m","other",1,34,"3",5,0,79,"No"
"Sales & Marketing","region_22","Bachelor","m","other",1,36,"3",5,0,44,"No"
"HR","region_2","Below_Secondary","f","other",1,24,"No_Rating",1,0,49,"No"
"Operations","region_22","Master_and_above","m","sourcing",2,38,"4",9,0,56,"No"
"Analytics","region_10","Bachelor","m","other",2,31,"3",2,0,86,"No"
"Operations","region_13","Bachelor","m","other",1,36,"5",2,0,56,"No"
"Technology","region_1","Master_and_above","f","sourcing",1,37,"3",9,0,81,"No"
"HR","region_2","Bachelor","m","other",1,30,"3",5,0,47,"No"
"Legal","region_2","Bachelor","m","sourcing",3,54,"2",19,0,60,"No"
"Sales & Marketing","region_7","Bachelor","m","sourcing",4,35,"3",3,0,51,"No"
"Operations","region_32","Bachelor","f","sourcing",1,36,"4",8,0,63,"No"
"Sales & Marketing","region_22","Bachelor","f","other",1,26,"4",1,0,49,"No"
"Operations","region_2","Master_and_above","m","other",1,56,"3",19,0,56,"No"
"Sales & Marketing","region_13","Bachelor","m","sourcing",1,27,"5",2,0,48,"No"
